asset_type,asset_sub_type,asset_sub_type_description,business_function,business_activity,retention_period,retention_reason,security_title,action_on_expiry,reason_for_action,appraisal_criteria,authorised_by,authorisation_date,master,classification_code,notes,keywords
Documents,Intake Processing Records,,INFORMATION MANAGEMENT,Intake,Period of business/administrative need,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/09/2007,Departments,IM-Intake-004,,
Documents,Training Course Feedback,,PERSONNEL,Training and Development,Period of business/administrative need,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2008, N/A,PE-TrainDev,,
Documents,Director General Appointment - Unsuccessful Candidates,"This includes application forms, assessments, background checks etc – documents which are mainly about an individual",PERSONNEL,Recruitment,6 months,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,BBC Trust,01/08/2012,BBC Trust,PE-Recruit-014,,
Documents,Directives from Government,,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/09/2008, N/A,EA-GovRels,,
Documents,Multi Licence Information,,FINANCE,Licence Fee,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/09/2008, N/A,FN-LicenceFee-007,,
Documents,Recordings of Coaching Sessions,Materials given to attendees containing personal information regarding staff.,PERSONNEL,Training and Development,1 year,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,IPC Team,01/09/2008, N/A,PE-TrainDev,If removed from BBC Premises information must be encrypted.,
Documents,Records of Training - Legislative and Compliance,"Includes Health and Safety such as, fire, first aid and manual handling. Also FOI, DPA and other mandatory legislative/compliance training.",PERSONNEL,Training and Development,Cessation+40,Management of Health and Safety at Work Regulations 1999,Restricted Access,Destroy,No Further Value,N/A,BBC People,01/09/2008,BBC People,PE-TrainDev-002,,
Documents,Licence Fee Reporting and Analysis,,COMMUNICATIONS AND MARKETING,Audience and Consumer Research,5 years,Business Need,Restricted Access,Review,Business Need,N/A,Television Licensing,01/09/2008,Licence Fee Unit,CM-AudResearc-014,,
Documents,Trustees Remuneration Records,,EXTERNAL ACCOUNTABILITY,Regulation,Permanent,Business Need,Non-Restricted,Archive,No Further Value,N/A,BBC Trust,01/06/2003,BBC Trust,EA-Regulation-008 ,"Do not Publish in Publication scheme, by request only",
Documents,Promotion Records,,COMMUNICATIONS AND MARKETING,Promotions,5 years,Business Need,Restricted Access,Review,Business Need,N/A,Appeals,01/01/2008,Appeals,CM-Promotions-003,,
Documents,Child Performance Licences,All information on child licences including working hours documentation such as timesheets / time sheets,PRODUCTION,Talent Management,Period of business/administrative need,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,Legal Affairs - Rights,01/11/2008,LEA,PR-TalentMan-006,LEA is master holder and these records should be destroyed when no longer required. As these documents are required for re-use/resale and are often difficult to locate at the LEA they can be retained by the BBC for as long as necessary.,
Documents,Contracting-Out Records,,FINANCE,Contracting-Out,5 years,BBC Best Practice,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/05/2009,Divisions,FN-ContOut,,
Documents,Tender Responses (not awarded),Relates to all documentation for unsuccessful bidders,FINANCE,Tendering,2 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,Legal,01/08/2009,Procurement,FN-Tendering-002,,
Documents,Supporting Artists/Walk-ons - Time sheets & Agreements,"Official signed agreement giving details of programme worked on, dates & personal details",PRODUCTION,Talent Management,2 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,Talent & Rights Negotiation Group,01/10/2009,Production Office,PE-Employman-018,,
Documents,Reporter Notebooks,,PRODUCTION,Content Creation,Transmission+7,Limitation Act,Editorially Sensitve,Review,Possible Historical Interest,Reporters (Journalists) Notebooks,Programme Legal Advice,01/03/2012,Production Office,PR-Content-003,,
Documents,Policies,Final Policy document which acts as a reference for decision making and determining operating procedures,STRATEGIC MANAGEMENT AND DIRECTION,Policy,Until Superseded,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/02/2007,Departments,SM-Policy-004,,
Documents,Briefings to Staff,"includes any form of briefing such as ringmain, email, face to face, document",PERSONNEL,Internal Communication,3 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/04/2013, N/A,CM-Communicat,,
Documents,Retention Schedules,,INFORMATION MANAGEMENT,Disposition,Until Superseded,Business Need,Non-Restricted,Review,BBC Best Practice,N/A,_Records Management,01/06/2005,Information and Archives,IM-Dispositio,,
Documents,Case Files,,INFORMATION MANAGEMENT,Enquiries and Research,Permanent,BBC Best Practice, N/A,Archive,Historical,N/A,_Records Management,01/06/2005,Information and Archives,IM-InfoSec-016,,
Documents,Access Records,,INFORMATION MANAGEMENT,Intake,10 years,Business Need, N/A,Archive,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,IM-Intake-002,,
Documents,Access Records,,INFORMATION MANAGEMENT,Information Security,Until Superseded,BBC Best Practice,Restricted Access,Review,Business Need,N/A,_Records Management,01/06/2005, N/A,IM-InfoSec-002,,
Documents,Planning,,ENGINEERING AND TECHNOLOGY,Strategy,3 years,Business Need,Restricted Access,Review,NULL,N/A,_Records Management,01/05/2006, N/A,ET-Technical,,
Documents,Copyright Declaration Form,"Also known as Photocopying Declaration form. Under UK Copyright Law, a Copyright Declaration form is signed for requesting copies of items i.e. journal articles for private study or research for a non-commercial purpose.",LEGAL AND CONTRACTS,Intellectual Property,6 years,Copyright Designs and Patents Act, N/A,Destroy,No Further Value,N/A,_Records Management,01/06/2010, N/A,LC-Rights-002,,
Documents,Supporting artists (extras) and walk-ons Timesheet,,PERSONNEL,Employment Management,2 years,BBC Best Practice,Restricted Access,Destroy,No Further Value,N/A,Talent & Rights Negotiation Group,01/10/2009,Talent & Rights Negotiation Group,PE-Employman-018,http://home.gateway.bbc.co.uk/rights/guides/sawo.html,
Documents,Appeals to Trustees (upheld),Complaints that have been referred to the Trust following the ECU appeals procedure and were subsequently upheld.,EXTERNAL ACCOUNTABILITY,Complaints,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,BBC Trust,01/04/2013,BBC Trust,EA-Complaints-001,,
Documents,Medical Consultation Records,Forms and documentation completed by contributors for use as case studies in medical programmes,PRODUCTION,Talent Management,7 years,Limitation Act,Medical in Confidence,Destroy,Data Protection Act,N/A,IPC Team,01/09/2010,Production Office,PR-TalentMan-007,,
Documents,Confirmation Documents,Confirmation Documents providing evidence of cover,FINANCE,Insurance,1 year,Business Need,Restricted Access,Destroy,No Further Value,N/A,Insurance Services,01/01/2011,Insurance Services,FN-Insurance-007,,
Documents,Location Bank Account Information,"A Location Bank Account is set up for productions filming on location. Records include invoices, receipts, cheque stubs, and expenses claims",FINANCE,Banking,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/05/2011,Production Office,FN-Banking,,
Documents,Application to Participate Form,Be on a show application,COMMUNICATIONS AND MARKETING,Public Relations,1 year,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,Governance and Accountability,01/05/2013,Production Office,CM-PublicRels-008,Only need to retain for 1 year if application is more general and not for a specific show. Otherwise destroy after decisions have been made for a specific show.  ,
Documents,Premium Rate Telephony Competitions,"Summary of PRT Competitions Process, Lists of Prizes and Prizewinners, ITACU Information.",COMMUNICATIONS AND MARKETING,Public Relations,2 years,Business Need,Restricted Access,Review,Legal,N/A,_Records Management,01/05/2011,ITACU,CM-PublicRels-012,Ofcom requirement to retain in case of audits and for complaints or queries regarding competition.  ,
Documents,Budgets (Production),"includes greenlighting, repeat, final, forecast budgets",FINANCE,Budgeting,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/05/2011,Production Office,FN-Budget,,
Documents,Portofolio Management,Records relating to the management of a portfolio of projects.,STRATEGIC MANAGEMENT AND DIRECTION,Project Management,5 years,Business Need,Restricted Access,Review,Business Need,Project Documentation,BBC PMO,01/01/2013,Departments,SM-ProjectMan-004,Records relating to the management of a portfolio of projects,
Documents,Negative Check Emails,Emails sent by the researcher confirming (or otherwise) that the names and adresses have been checked and can be used. The negative check system tries to ensure that a name or other details invented for a BBC programme does not exist in reality.,LEGAL AND CONTRACTS,Intellectual Property,7 years,Business Need,Restricted Access,Destroy,Business Need,N/A,_Records Management,01/05/2011,Production Office,LC-IntelProp-012,Where I&A have carried out the check they will hold the master records,
Documents,Location Filming and Recording,,PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,Production,01/05/2011,Production Office,PR-Content-012,,
Documents,Location Consent Forms,"also known as Location Contracts, location agreements, location release",PRODUCTION,Content Creation,6 years,Limitation Act,Restricted Access,Review,BBC Best Practice,N/A,Legal Affairs - Rights,01/09/2006,Production Office,PR-Content-004,Limitation period runs from breach rather than contract date,
Documents,Childrens Competitions (Other than PRT),includes entry forms and scorecards,COMMUNICATIONS AND MARKETING,Public Relations,6 months,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/01/2009,Production Office,CM-PublicRels-012,Destroy 6 months after competition has completed and the prize has been taken.  ,
Documents,Ingest Forms,,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-017,,
Documents,Audience Council Final Membership,,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Business Need, N/A,Archive,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Accountab,,
Documents,Outside Broadcast Filming,,PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-012,,
Documents,Studio Filming,,PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2011,Production Office,PR-Content-012,,
Documents,Post Production Schedules,,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/05/2011,Production Office,PR-Content-017,,
Documents,Contact Lists - Antiques Roadshow,"Forms completed by contributors relevant to the relevant item and its place in the show. Need to keep to make various programmes such as Greatest Finds, Retrospectives, Compilations etc and also every year there is a run of repeats.   ",PRODUCTION,Content Creation,10 years,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/07/2014,Production Office,CM-Communicat-009,Need to retain longer for contacting past contributors regarding special programmes,
Documents,Severance Business Justification Reports,Reports justifying payments to staff on redundancy,PERSONNEL,Employment Management,10 years,BBC Best Practice,Restricted Access,Review,Business Need,Severance Business Justification Reports,Director Generals Office,01/08/2013,Director General,PE-Employman-005,,
Documents,Gift Aid Donation Slips,,FINANCE,Taxation,7 years,Taxes Management Act,Restricted Access,Destroy,No Further Value,N/A,Inland Revenue,01/09/2013, N/A,FN-Taxation,,
Documents,Sequence Licence Agreements,Sequence Licence Agreements (or SLAs) are the BBC agreements issued for the licence of any third party film materials which requires a royalty fee. These are generated by Clip Acquisitions only,LEGAL AND CONTRACTS,Acquisition,Permanent,Business Need,Restricted Access,Archive,Business Need,N/A,Programme Acquisitions,01/10/2013,Programme Acquisition,LC-Contracts-015,http://explore.gateway.bbc.co.uk/GatewayCMS01Live/television_home/in-house_services/clip_acquisition.aspx    http://explore.gateway.bbc.co.uk/GatewayCMS01Live/television_home/in-house_services/clip_acquisition/sequence_licence_agreements.aspx,
Documents,Location Facilities Site Logs,"Details of Newsgathering operations such as location, satellite dish direction, local landmarks, story, date.",BROADCASTING,Transmission,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,_Records Management,01/10/2013,Newsgathering,BD-Transmiss-003,Held on ROBIN System,
Documents,On-Screen Portrayal Forms,  ,PRODUCTION,Content Creation,7 years,Business Need,Restricted Access,Review,Business Need, No Appraisal Criteria at present,Vision,01/05/2011,Production Office,PR-Content-017,The BBC's On Screen Portrayal Form enables BBC Vision to monitor on-screen portrayal of ethnic diversity and disability across all programmes. Please note this form is purely for BBC internal use.    ,
Documents,Data Consent Forms,Forms completed by staff reagrding policies relating to data handling and management e.g. Mobile devices,LEGAL AND CONTRACTS,Contracts,Expiry+6,Legal,Restricted Access,Destroy,Data Protection Act,N/A,Information Security,01/12/2013,Information Security,LC-Contracts-016,,
Documents,Gift Registers,Register of gifts recieved by BBC staff,PERSONNEL,Remuneration,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/12/2013,Departments,PE-Remunerat-002,,
Documents,Detection Records,Records relating to the process of detecting licence fee evasion,LEGAL AND CONTRACTS,Investigation,6 years,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,Licence Fee Unit,01/01/2014,Licence Fee Unit,LC-Investig-001,,
